"date","series_id","value","realtime_start","realtime_end"
2020-04-29,"DTB3",0.1,2026-03-11,2026-03-11
2020-04-30,"DTB3",0.09,2026-03-11,2026-03-11
2020-05-01,"DTB3",0.12,2026-03-11,2026-03-11
2020-05-04,"DTB3",0.13,2026-03-11,2026-03-11
2020-05-05,"DTB3",0.13,2026-03-11,2026-03-11
2020-05-06,"DTB3",0.12,2026-03-11,2026-03-11
2020-05-07,"DTB3",0.11,2026-03-11,2026-03-11
2020-05-08,"DTB3",0.12,2026-03-11,2026-03-11
2020-05-11,"DTB3",0.12,2026-03-11,2026-03-11
2020-05-12,"DTB3",0.13,2026-03-11,2026-03-11
2020-05-13,"DTB3",0.13,2026-03-11,2026-03-11
2020-05-14,"DTB3",0.12,2026-03-11,2026-03-11
2020-05-15,"DTB3",0.12,2026-03-11,2026-03-11
2020-05-18,"DTB3",0.13,2026-03-11,2026-03-11
2020-05-19,"DTB3",0.13,2026-03-11,2026-03-11
2020-05-20,"DTB3",0.12,2026-03-11,2026-03-11
2020-05-21,"DTB3",0.12,2026-03-11,2026-03-11
2020-05-22,"DTB3",0.12,2026-03-11,2026-03-11
2020-05-25,"DTB3",NA,2026-03-11,2026-03-11
2020-05-26,"DTB3",0.14,2026-03-11,2026-03-11
2020-05-27,"DTB3",0.15,2026-03-11,2026-03-11
2020-05-28,"DTB3",0.15,2026-03-11,2026-03-11
2020-05-29,"DTB3",0.14,2026-03-11,2026-03-11
2020-06-01,"DTB3",0.14,2026-03-11,2026-03-11
2020-06-02,"DTB3",0.15,2026-03-11,2026-03-11
2020-06-03,"DTB3",0.16,2026-03-11,2026-03-11
2020-06-04,"DTB3",0.15,2026-03-11,2026-03-11
2020-06-05,"DTB3",0.15,2026-03-11,2026-03-11
2020-06-08,"DTB3",0.17,2026-03-11,2026-03-11
2020-06-09,"DTB3",0.19,2026-03-11,2026-03-11
2020-06-10,"DTB3",0.17,2026-03-11,2026-03-11
2020-06-11,"DTB3",0.17,2026-03-11,2026-03-11
2020-06-12,"DTB3",0.16,2026-03-11,2026-03-11
2020-06-15,"DTB3",0.18,2026-03-11,2026-03-11
2020-06-16,"DTB3",0.17,2026-03-11,2026-03-11
2020-06-17,"DTB3",0.17,2026-03-11,2026-03-11
2020-06-18,"DTB3",0.16,2026-03-11,2026-03-11
2020-06-19,"DTB3",0.15,2026-03-11,2026-03-11
2020-06-22,"DTB3",0.16,2026-03-11,2026-03-11
2020-06-23,"DTB3",0.16,2026-03-11,2026-03-11
2020-06-24,"DTB3",0.15,2026-03-11,2026-03-11
2020-06-25,"DTB3",0.16,2026-03-11,2026-03-11
2020-06-26,"DTB3",0.14,2026-03-11,2026-03-11
2020-06-29,"DTB3",0.14,2026-03-11,2026-03-11
2020-06-30,"DTB3",0.16,2026-03-11,2026-03-11
2020-07-01,"DTB3",0.14,2026-03-11,2026-03-11
2020-07-02,"DTB3",0.14,2026-03-11,2026-03-11
2020-07-03,"DTB3",NA,2026-03-11,2026-03-11
2020-07-06,"DTB3",0.15,2026-03-11,2026-03-11
2020-07-07,"DTB3",0.15,2026-03-11,2026-03-11
2020-07-08,"DTB3",0.15,2026-03-11,2026-03-11
2020-07-09,"DTB3",0.13,2026-03-11,2026-03-11
2020-07-10,"DTB3",0.13,2026-03-11,2026-03-11
2020-07-13,"DTB3",0.14,2026-03-11,2026-03-11
2020-07-14,"DTB3",0.15,2026-03-11,2026-03-11
2020-07-15,"DTB3",0.16,2026-03-11,2026-03-11
2020-07-16,"DTB3",0.11,2026-03-11,2026-03-11
2020-07-17,"DTB3",0.11,2026-03-11,2026-03-11
2020-07-20,"DTB3",0.13,2026-03-11,2026-03-11
2020-07-21,"DTB3",0.13,2026-03-11,2026-03-11
2020-07-22,"DTB3",0.13,2026-03-11,2026-03-11
2020-07-23,"DTB3",0.12,2026-03-11,2026-03-11
2020-07-24,"DTB3",0.11,2026-03-11,2026-03-11
2020-07-27,"DTB3",0.11,2026-03-11,2026-03-11
2020-07-28,"DTB3",0.11,2026-03-11,2026-03-11
2020-07-29,"DTB3",0.11,2026-03-11,2026-03-11
2020-07-30,"DTB3",0.09,2026-03-11,2026-03-11
2020-07-31,"DTB3",0.09,2026-03-11,2026-03-11
2020-08-03,"DTB3",0.1,2026-03-11,2026-03-11
2020-08-04,"DTB3",0.09,2026-03-11,2026-03-11
2020-08-05,"DTB3",0.1,2026-03-11,2026-03-11
2020-08-06,"DTB3",0.1,2026-03-11,2026-03-11
2020-08-07,"DTB3",0.1,2026-03-11,2026-03-11
2020-08-10,"DTB3",0.11,2026-03-11,2026-03-11
2020-08-11,"DTB3",0.11,2026-03-11,2026-03-11
2020-08-12,"DTB3",0.11,2026-03-11,2026-03-11
2020-08-13,"DTB3",0.1,2026-03-11,2026-03-11
2020-08-14,"DTB3",0.1,2026-03-11,2026-03-11
2020-08-17,"DTB3",0.1,2026-03-11,2026-03-11
2020-08-18,"DTB3",0.09,2026-03-11,2026-03-11
2020-08-19,"DTB3",0.11,2026-03-11,2026-03-11
2020-08-20,"DTB3",0.11,2026-03-11,2026-03-11
2020-08-21,"DTB3",0.1,2026-03-11,2026-03-11
2020-08-24,"DTB3",0.12,2026-03-11,2026-03-11
2020-08-25,"DTB3",0.11,2026-03-11,2026-03-11
2020-08-26,"DTB3",0.11,2026-03-11,2026-03-11
2020-08-27,"DTB3",0.11,2026-03-11,2026-03-11
2020-08-28,"DTB3",0.1,2026-03-11,2026-03-11
2020-08-31,"DTB3",0.11,2026-03-11,2026-03-11
2020-09-01,"DTB3",0.12,2026-03-11,2026-03-11
2020-09-02,"DTB3",0.12,2026-03-11,2026-03-11
2020-09-03,"DTB3",0.11,2026-03-11,2026-03-11
2020-09-04,"DTB3",0.11,2026-03-11,2026-03-11
2020-09-07,"DTB3",NA,2026-03-11,2026-03-11
2020-09-08,"DTB3",0.13,2026-03-11,2026-03-11
2020-09-09,"DTB3",0.12,2026-03-11,2026-03-11
2020-09-10,"DTB3",0.12,2026-03-11,2026-03-11
2020-09-11,"DTB3",0.11,2026-03-11,2026-03-11
2020-09-14,"DTB3",0.11,2026-03-11,2026-03-11
2020-09-15,"DTB3",0.11,2026-03-11,2026-03-11
2020-09-16,"DTB3",0.12,2026-03-11,2026-03-11
2020-09-17,"DTB3",0.09,2026-03-11,2026-03-11
2020-09-18,"DTB3",0.1,2026-03-11,2026-03-11
